topic,paper_type,title,year,authors,citation_count,semantic_scholar_url,doi,doi_verification_status,manuscript_relevance_note
Arbuscular mycorrhizal fungal ecology,canonical_or_foundational,"Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity",1998,M. V. D. Heijden; J. Klironomos; M. Ursic; P. Moutoglis; R. Streitwolf-Engel,3570,https://www.semanticscholar.org/paper/7f66f74d21e5c61f8ce91c36a054fa6b0da230c2,10.1038/23932,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Arbuscular mycorrhizal fungal ecology,canonical_or_foundational,Mycorrhizas and soil structure.,2006,"M. Rillig, D. Mummey",1386,https://www.semanticscholar.org/paper/c79ef95b8db2594a322ed28d8f1d8cce54efda68,10.1111/j.1469-8137.2006.01750.x,crossref_title_match,Supports intro framing for Arbuscular mycorrhizal fungal ecology
Arbuscular mycorrhizal fungal ecology,canonical_or_foundational,Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism,2015,J. Davison; M. Moora; M. Öpik; A. Adholeya; L. Ainsaar,733,https://www.semanticscholar.org/paper/0f1a1e17bb652b1f486b0c0e5226aee56a25b7db,10.1126/science.aab1161,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Arbuscular mycorrhizal fungal ecology,manuscript_relevant,Arbuscular mycorrhizal fungal communities and global change: an uncertain future.,2018,T. A. Cotton,83,https://www.semanticscholar.org/paper/da5dfeba1fbfa17f0c0d290566fb7ca39cfa282b,10.1093/femsec/fiy179,crossref_title_match,Supports intro framing for Arbuscular mycorrhizal fungal ecology
Arbuscular mycorrhizal fungal ecology,manuscript_relevant,Global arbuscular mycorrhizal fungal diversity and abundance decreases with soil available phosphorus,2023,"Xiaocui Ma, Xia Xu, Qinghong Geng, Yiqi Luo, C. Ju",63,https://www.semanticscholar.org/paper/1afaedd44d9111c321ab08feaa618bb5341df93e,10.1111/geb.13704,crossref_title_match,Supports intro framing for Arbuscular mycorrhizal fungal ecology
Arbuscular mycorrhizal fungal ecology,recent_synthesis_or_review,The Impact of Flooding on Soil Microbial Communities and Their Functions: A Review,2025,"A. Das, Da-Sol Lee, Youn-Ji Woo, Sharmin Sultana, A. Mahmud",29,https://www.semanticscholar.org/paper/a56ba5839b3f300053a56ff1d1d17c561140ea91,10.3390/stresses5020030,crossref_title_match,Supports intro framing for Arbuscular mycorrhizal fungal ecology
Bacteria–fungi interactions,manuscript_relevant,Mechanisms and implications of bacterial–fungal competition for soil resources,2024,"Chaoqun Wang, Y. Kuzyakov",474,https://www.semanticscholar.org/paper/546abd7b341a1b2c2a307dcde7aea2f09a5cb4d4,10.1093/ismejo/wrae073,crossref_title_match,Supports intro framing for Bacteria–fungi interactions
Bacteria–fungi interactions,manuscript_relevant,"Soil Microbiome: Diversity, Benefits and Interactions with Plants",2023,"Poonam Chauhan, Neha Sharma, A. Tapwal, Ajay Kumar, G. Verma",139,https://www.semanticscholar.org/paper/7a2c85f32608660fa11c19409496bc85c8c423dd,10.3390/su151914643,crossref_title_match,Supports intro framing for Bacteria–fungi interactions
Bacteria–fungi interactions,manuscript_relevant,"Oxalic acid, a molecule at the crossroads of bacterial-fungal interactions.",2019,"Fabio Palmieri, Aislinn Estoppey, Geoffrey L. House, Andrea Lohberger, S. Bindschedler",101,https://www.semanticscholar.org/paper/911e3d3c32cc3f594eb1e83d799e687a610e38f3,10.1016/bs.aambs.2018.10.001,crossref_title_match,Supports intro framing for Bacteria–fungi interactions
Bacteria–fungi interactions,recent_synthesis_or_review,Soil antimony-microbe interactions: A review.,2025,"Libo Pan, Xiao Guan, Yanjun Chen, Bo Liu, Yanling Qiu",3,https://www.semanticscholar.org/paper/a83f6d03f964f3bf9c4d7032f9220893bce35dd2,10.1016/j.scitotenv.2025.179904,crossref_top_hit,Supports intro framing for Bacteria–fungi interactions
