topic_area,title,year,authors,citation_count,semantic_scholar_url,verification_status,why_needed
microbial cross-domain coupling,Warming reshaped the microbial hierarchical interactions,2021,Yuqi Zhou; Baoyu Sun; B. Xie; Kai Feng; Zhaojing Zhang,161,https://www.semanticscholar.org/paper/d1eb20c8a4f7a6487b380b9ee28363cfe2ff1ead,verified_semantic_scholar,"supports inter-domain network coupling among prokaryotes, fungi, and protists"
microbial cross-domain coupling,Stronger responses of soil protistan communities to legacy mercury pollution than bacterial and fungal communities in agricultural systems,2022,Shuai Du; Xin-Qi Li; X. Hao; Hangwei Hu; Jiao Feng,33,https://www.semanticscholar.org/paper/8cc605f34ca4893c115973d77f625074977483a4,verified_semantic_scholar,supports cross-kingdom response heterogeneity and inter-kingdom interaction framing
AM fungal ecology,Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism,2015,J. Davison; M. Moora; M. Öpik; A. Adholeya; L. Ainsaar,733,https://www.semanticscholar.org/paper/0f1a1e17bb652b1f486b0c0e5226aee56a25b7db,verified_semantic_scholar,global AMF biogeography/diversity context
AM fungal ecology,"Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity",1998,M. V. D. Heijden; J. Klironomos; M. Ursic; P. Moutoglis; R. Streitwolf-Engel,3570,https://www.semanticscholar.org/paper/7f66f74d21e5c61f8ce91c36a054fa6b0da230c2,verified_semantic_scholar,foundational AMF-plant biodiversity linkage
soil pH effects,The diversity and biogeography of soil bacterial communities.,2006,N. Fierer; R. B. Jackson,5221,https://www.semanticscholar.org/paper/84dfd525de87ba9cb287c86036418ee90cb0ffd3,verified_semantic_scholar,foundational evidence that pH structures soil bacterial biogeography
soil pH effects,Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale,2009,C. Lauber; M. Hamady; R. Knight; N. Fierer,3585,https://www.semanticscholar.org/paper/4ffe1329ca7bd34d1efdb19eaf49f500e138574d,verified_semantic_scholar,continental-scale evidence for pH as dominant bacterial community predictor
soil pH effects,Soil bacterial and fungal communities across a pH gradient in an arable soil,2010,J. Rousk; J. Rousk; E. Bååth; P. Brookes; C. Lauber,3818,https://www.semanticscholar.org/paper/35f64f3c7185ea8a988b065fbf2cd0bf48996cb5,verified_semantic_scholar,joint bacterial-fungal response across pH gradient
plant diversity and dark diversity,DarkDivNet – A global research collaboration to explore the dark diversity of plant communities,2019,M. Pärtel; C. P. Carmona; M. Zobel; M. Moora; Kersti Riibak,18,https://www.semanticscholar.org/paper/f8183399a65a4e1bdf7b1985359b62e388bde4a4,verified_semantic_scholar,network and conceptual framing for dark diversity
plant diversity and dark diversity,Estimating probabilistic site‐specific species pools and dark diversity from co‐occurrence data,2020,C. P. Carmona; M. Pärtel,58,https://www.semanticscholar.org/paper/d08748b0a2150a22311f98978633c99608d009e5,verified_semantic_scholar,methodological framework for estimating dark diversity
microbial co-occurrence and community assembly,Quantifying community assembly processes and identifying features that impose them,2013,J. Stegen; Xueju Lin; J. Fredrickson; Xingyuan Chen; D. Kennedy,2027,https://www.semanticscholar.org/paper/2b1ae271fd6690fd1215fbe21477c267114b8fa2,verified_semantic_scholar,deterministic vs stochastic community assembly framework
microbial co-occurrence and community assembly,Patterns and Processes of Microbial Community Assembly,2013,D. Nemergut; S. K. Schmidt; T. Fukami; S. O’Neill; T. Bilinski,1547,https://www.semanticscholar.org/paper/671626d90886405674a5d17ebca798b81459ec93,verified_semantic_scholar,conceptual synthesis for microbial community assembly
microbial co-occurrence and community assembly,Incorporating phylogenetic metrics to microbial co‐occurrence networks based on amplicon sequences to discern community assembly processes,2019,M. Goberna; A. Montesinos‐Navarro; A. Valiente‐Banuet; Y. Colin; Alicia Gómez-Fernández,61,https://www.semanticscholar.org/paper/f414048ae3d999c2db5f59b842668c851c9fac78,verified_semantic_scholar,links co-occurrence patterns to assembly mechanisms
microbial co-occurrence and community assembly,Microbial interactions from networks: from models to descriptions,2012,J. Faust; J. Raes,3102,https://www.semanticscholar.org/paper/6b0f343f0f3ea1f6f8b5f0406f17d2788e19a1f1,needs_verification_in_project_query,highly relevant review likely needed; verify exact Semantic Scholar record used in final bibliography
