claim_id,section,claim_text,source_file,figure_or_table,numeric_support
C001,Results 1 — Cross-domain coupling,The highest combined coupling strength was observed for BAC↔ITS (presence/absence) at 0.574.,results/phase5d_synthesis/final_coupling_rankings.csv,Figure 1; Table 1,coupling_strength=0.574
C002,Results 1 — Cross-domain coupling,"The second and third highest coupling strengths were EUK↔ITS (presence/absence, 0.538) and EUK↔ITS (CLR, 0.535).",results/phase5d_synthesis/final_coupling_rankings.csv,Figure 1; Table 1,rank2=0.538; rank3=0.535
C003,Results 1 — Cross-domain coupling,The strongest Mantel relationship was BAC↔ITS (presence/absence) with Mantel = 0.584 and p = 0.002.,results/phase5d_synthesis/final_coupling_rankings.csv,Figure 1; Table 1,Mantel=0.584; p=0.002
C004,Results 1 — Cross-domain coupling,The strongest Procrustes similarity was EUK↔ITS (CLR) with similarity = 0.683.,results/phase5d_synthesis/final_coupling_rankings.csv,Figure 1; Table 1,Procrustes_similarity=0.683
C005,Results 1 — Cross-domain coupling,"Across threshold shifts (0.05 to 0.10), absolute Mantel changes were small (median 0.044, maximum 0.084), and absolute Procrustes-fit changes were also small (median 0.021, maximum 0.041).",results/phase5_bac_integration/phase5_bac_mantel_inference.csv;results/phase5_bac_integration/phase5_bac_procrustes_bootstrap.csv,Table 2,mantel_median=0.044; mantel_max=0.084; procr_median=0.021; procr_max=0.041
C006,Results 1 — Cross-domain coupling,"For BAC↔ITS, Mantel was 0.584 (presence/absence) and 0.358 (CLR), with the presence/absence branch ranking highest overall.",results/phase5d_synthesis/final_coupling_rankings.csv,Table 1,BACITS_PA=0.584; BACITS_CLR=0.358
C007,Results 1 — Cross-domain coupling,"For AMF↔ITS, Mantel was 0.459 (presence/absence) and 0.525 (CLR).",results/phase5d_synthesis/final_coupling_rankings.csv,Table 1,AMFITS_PA=0.459; AMFITS_CLR=0.525
C008,Results 2 — BAC integration,BAC-inclusive pairings occupied 2 of the top 4 coupling-strength positions.,results/phase5d_synthesis/final_coupling_rankings.csv,Figure 1; Table 1,top4_bac_count=2
C009,Results 2 — BAC integration,"BAC↔ITS (presence/absence) combined Mantel 0.584 and Procrustes similarity 0.564, yielding coupling strength 0.574.",results/phase5d_synthesis/final_coupling_rankings.csv,Figure 1; Table 1,Mantel=0.584; Procrustes_similarity=0.564; coupling_strength=0.574
C010,Results 2 — BAC integration,"Compared with AMF↔ITS (presence/absence), BAC↔ITS (presence/absence) showed higher Mantel (0.584 vs 0.459) but lower Procrustes similarity (0.564 vs 0.430).",results/phase5d_synthesis/final_coupling_rankings.csv,Table 1,BAC_Mantel=0.584; AMF_Mantel=0.459; BAC_Proc=0.564; AMF_Proc=0.430
C011,Results 3 — Environmental drivers,"The highest dbRDA adjusted R² was 0.278 for BAC↔ITS (CLR), while the lowest was 0.188 for AMF↔EUK (CLR).",results/phase5d_synthesis/final_environment_driver_summary.csv,Figure 2; Table 3,max_adjR2=0.278; min_adjR2=0.188
C012,Results 3 — Environmental drivers,pH contribution ranged from 0.092 to 0.151 across pair-branch combinations.,results/phase5d_synthesis/final_environment_driver_summary.csv,Figure 2; Table 3,pH_min=0.092; pH_max=0.151
C013,Results 3 — Environmental drivers,"In pair-level rankings, the top geography-sensitivity mean adjusted R² was 0.271, and all pair-level permutation p-values were 0.002.",results/phase5b_environmental_drivers/phase5b_pair_rankings.csv,Table 3,geo_top_adjR2=0.271; pmin=0.002
C014,Results 3 — Environmental drivers,"The largest mean predictor delta adjusted R² was for pH_KCl (0.111), followed by lat (0.013) and lon (0.012).",results/phase5b_environmental_drivers/phase5b_predictor_ranking.csv,Table 4,pH=0.111; lat=0.013; lon=0.012
C015,Results 4 — Plant-diversity hypotheses,"Among hypotheses A–G, hypothesis B ranked first with mean delta adjusted R² = 0.013, and hypothesis F ranked second with 0.011.",results/phase5c_plant_diversity/phase5c_hypothesis_summary.csv,Figure 3; Table 5,top=B:0.013; second=F:0.011
C016,Results 4 — Plant-diversity hypotheses,"Across pair-branch summaries, mean effect sizes followed alpha (0.013) > pool (0.009) > dark (0.003) > compl (-0.004).",results/phase5d_synthesis/final_plant_diversity_summary.csv,Figure 4; Table 5,alpha=0.013; pool=0.009; dark=0.003; compl=-0.004
C017,Results 4 — Plant-diversity hypotheses,The strongest pair-specific plant-diversity increment was AMF↔ITS (presence/absence) with delta adjusted R² vs abiotic base = 0.019.,results/phase5d_synthesis/final_plant_diversity_summary.csv,Figure 5; Table 5,best_pair_delta=0.019
C018,Results 5 — Integrated synthesis,The highest integrated coupling hierarchy value in the final synthesis was 0.574 for BAC↔ITS (presence/absence).,results/phase5d_synthesis/final_pair_synthesis.csv,Figure 1; Table 6,top_coupling=0.574
C019,Results 5 — Integrated synthesis,The lowest integrated coupling hierarchy value was 0.400 for AMF↔EUK (presence/absence).,results/phase5d_synthesis/final_pair_synthesis.csv,Figure 1; Table 6,low_coupling=0.400
C020,Results 5 — Integrated synthesis,"Environmental hierarchy values in final synthesis ranged from 0.188 to 0.278, while plant-diversity added variation ranged from 0.007 to 0.019.",results/phase5d_synthesis/final_pair_synthesis.csv,Figure 2; Figure 3; Table 6,env_min=0.188; env_max=0.278; plant_min=0.007; plant_max=0.019
