ref_id,title,authors,year,venue,citation_count,semantic_scholar_url,theme,discussion_use,evidence_strength,source_query,source_query_id
R01,Deciphering microbial interactions and detecting keystone species with co-occurrence networks,D. Berry; S. Widder,2014,Frontiers in Microbiology,1496,https://www.semanticscholar.org/paper/c8be97da104a9c0ce681353152d44673aca87b19,Inference limits for co-occurrence patterns,"Supports caution that correlation-based networks indicate association structure, not direct causation.",high,microbial co-occurrence network limitations,22
R02,"Understanding stochastic and deterministic assembly processes in microbial communities along temporal, spatial and environmental scales",Mateu Menéndez-Serra; Vicente J. Ontiveros; Joan Cáliz; David Alonso; E. Casamayor,2023,Molecular Ecology,48,https://www.semanticscholar.org/paper/42808e0cbb7b818ffea497f847ba2b7129821daa,Deterministic vs stochastic assembly framing,"Supports interpretation that assembly drivers are scale- and context-dependent, consistent with pH-centered structuring in this dataset.",high,microbial beta diversity environmental gradients,16
R03,Critical transition of soil microbial diversity and composition triggered by plant rhizosphere effects,Xianheng Fu; Yu Huang; Qi Fu; Ying Qiu; Jiayi Zhao; Jiaxin Li; Xicun Wu; Yihang Yang,2023,Frontiers in Plant Science,35,https://www.semanticscholar.org/paper/6466cd3a3c34ac1168463299be0b34f367fa7a6b,pH and rhizosphere filtering,Supports interpretation that plant-associated shifts and pH changes can restructure microbial composition across kingdoms.,medium,plant community composition microbial diversity,12
R04,Soil protist communities form a dynamic hub in the soil microbiome,Wu Xiong; A. Jousset; Sai Guo; I. Karlsson; Qingyun Zhao; Hua-song Wu; G. Kowalchuk; Q. Shen,2017,The ISME Journal,229,https://www.semanticscholar.org/paper/3a17ce6cee66ccb66e7eb24a1d7637b27a918843,Cross-kingdom network structure,Supports interpretation that multi-kingdom links can organize belowground community architecture.,high,fungi bacteria protist interactions soil,7
R05,Cross-kingdom synthetic microbiota supports tomato suppression of Fusarium wilt disease,Xin Zhou; Jinting Wang; Fang-Pu Liu; Junmin Liang; Peng Zhao; Clement K. M. Tsui; Lei Cai,2022,Nature Communications,204,https://www.semanticscholar.org/paper/f210636764e16c0ab7dd4418b3f17f5198b762d7,Functional consequences of cross-kingdom interactions,Supports biological plausibility that bacteria–fungi integration can translate into ecosystem-relevant outcomes.,high,soil cross kingdom microbial interactions,6
R06,HT-SIP: a semi-automated stable isotope probing pipeline identifies cross-kingdom interactions in the hyphosphere of arbuscular mycorrhizal fungi,E. Nuccio; S. Blazewicz; Marissa Lafler; A. Campbell; A. Kakouridis; Jeffrey A. Kimbrel; J. Wollard; Dariia Vyshenska,2022,Microbiome,65,https://www.semanticscholar.org/paper/30f9207d455ffc6eca0040529821bf9b3e9ae195,AMF-linked cross-kingdom coupling,Supports interpretation that AMF-associated compartments are key interfaces for cross-domain interactions.,high,soil cross kingdom microbial interactions,6
R07,Arbuscular mycorrhizal fungal and soil microbial communities in African Dark Earths,Tessa Camenzind; Edith C. Hammer; J. Lehmann; D. Solomon; Sebastian Horn; M. Rillig; Stefan Hempel,2018,FEMS Microbiology Ecology,11,https://www.semanticscholar.org/paper/57e11f2c3b16777e43baa9c24ead98496473acd1,AMF and soil microbiome co-variation,Supports AMF-focused discussion of plant-responsive coupling signals.,medium,plant dark diversity microbial communities,1
R08,Trophic relationships between protists and bacteria and fungi drive the biogeography of rhizosphere soil microbial community and impact plant physiological and ecological functions.,Boyan Wang; Chen Chen; Yuan-ming Xiao; Kaiyang Chen; Juan Wang; Shuo Zhao; Na Liu; Jia-Nan Li,2024,Microbiology Research,38,https://www.semanticscholar.org/paper/0e79f563128e9c8b3487b5dc217e44186627e9f3,Multi-trophic cross-domain interactions,"Supports framing that bacteria, fungi, and protists jointly shape belowground ecological function.",high,fungi bacteria protist interactions soil,7
R09,Decomposing dark diversity affinities of species and sites using Bayesian method: What accounts for absences of species at suitable sites?,J. Fujinuma; M. Pärtel,2023,Methods in Ecology and Evolution,7,https://www.semanticscholar.org/paper/00e06e842d577e63e10a5b73908cb7241eb8c267,Dark diversity / completeness conceptual framing,Supports interpretation of completeness as realized-versus-possible occupancy signal rather than richness alone.,high,dark diversity belowground ecology,3
R10,Using a trait‐based dark diversity approach to evaluate natural recovery potential in forests,Élise Deschênes; Kierann R. Santala; Jonathan Lavigne; Isabelle Aubin,2024,Restoration Ecology,5,https://www.semanticscholar.org/paper/1daf2628ebfd8b6f92dbb510a6a3662a56da081d,Dark diversity as ecological diagnosis,Supports using dark-diversity logic as an interpretive framework for missing-but-suitable taxa.,medium,dark diversity belowground ecology,3
R11,Environmental Heterogeneity Drives the Dark Diversity of Global Plant Communities,Ji‐Zhong Wan; Xiaodan Wang,2025,,3,https://www.semanticscholar.org/paper/47754ea87f9823cca84357e661eb3adc05060b82,Environmental filtering and dark diversity,Supports linkage between environmental heterogeneity and dark-diversity patterns.,medium,dark diversity environmental filtering,5
R12,Plant-specific microbial diversity facilitates functional redundancy at the soil-root interface,W. Wicaksono; Martina Köberl; R. A. White; J. Jansson; Christer Jansson; T. Cernava; Gabriele Berg,2024,Plant and Soil,10,https://www.semanticscholar.org/paper/1d5d13515185665d422ba3ea0be709e377520501,Plant diversity and microbiome function,Supports interpretation of modest but non-zero plant-diversity increments.,medium,plant community completeness microbial diversity,4
