section,sentence_id,sentence,citation_class,needs_citation,has_existing_citation,query,selected_ref_ids,proposed_intext_citation,support_status
Introduction,INT_001,"Soil microbial communities are assembled through interacting deterministic and stochastic processes that operate simultaneously across bacteria, fungi, and microbial eukaryotes.",B,yes,no,soil deterministic stochastic microbial assembled interacting,REF001; REF002,"(Kiprotich et al., 2025) (Luan et al., 2020)",supported
Introduction,INT_002,"Deterministic processes include environmental filtering and biotic interactions, whereas stochastic processes include dispersal limitation, ecological drift, and historical contingency.",B,yes,no,deterministic environmental filtering stochastic processes include,REF003; REF004,"(Riddley et al., 2025) (Daniel et al., 2019)",supported
Introduction,INT_003,"The relative importance of these mechanisms varies among microbial groups, across spatial scales, and along environmental gradients.",B,yes,no,environmental relative importance mechanisms varies microbial groups spatial,REF005; REF006,"(Ning et al., 2024) (Li et al., 2023)",supported
Introduction,INT_004,"Consequently, concordant patterns among microbial domains can arise because different groups respond similarly to environmental conditions, because they interact directly through trophic, competitive, or metabolic relationships, or because both mechanisms operate together.",B,yes,no,environmental consequently concordant patterns microbial domains arise different,REF007,"(Gao et al., 2017)",supported
Introduction,INT_006,"Bacteria and fungi are expected to exhibit strong cross-domain coupling because they jointly mediate decomposition, nutrient turnover, and rhizosphere processes.",B,yes,no,coupling rhizosphere bacteria fungi expected exhibit strong cross-domain,REF008; REF001,"(Wang et al., 2024) (Kiprotich et al., 2025)",supported
Introduction,INT_007,"Root exudates influence bacterial community composition through substrate-specific selection, while fungal communities contribute to resource acquisition, organic matter transformation, and habitat structuring.",B,yes,no,bacterial fungal root exudates influence composition substrate-specific,REF009; REF010,"(Eisenhauer et al., 2017) (Fracchia et al., 2024)",supported
Introduction,INT_008,These shared ecological functions can generate coordinated turnover among bacterial and fungal communities across environmental gradients.,B,yes,no,bacterial fungal environmental shared ecological functions generate coordinated,REF011; REF012,"(Wang et al., 2024) (Fu et al., 2026)",supported
Introduction,INT_009,"However, bacterial-fungal associations may also reflect common responses to soil conditions rather than direct interactions, emphasizing the need to distinguish ecological concordance from mechanistic dependence.",B,yes,no,soil however bacterial-fungal associations also reflect common responses,REF013; REF014,"(Guo et al., 2022) (Qian et al., 2025)",supported
Introduction,INT_010,Arbuscular mycorrhizal fungi (AMF) introduce an additional ecological dimension because they directly connect plant communities with belowground microbial organization.,B,yes,no,mycorrhizal plant arbuscular fungi introduce additional ecological,REF015; REF016,"(Zeng et al., 2025) (Boyno, 2025)",supported
Introduction,INT_011,AMF depend on host-derived carbon and influence nutrient acquisition through extensive hyphal networks that extend beyond the root zone.,B,yes,no,depend host-derived carbon influence nutrient acquisition extensive hyphal,REF017; REF018,"(Tedersoo et al., 2020) (Liu et al., 2025)",supported
Introduction,INT_012,"Variation in host identity, plant functional traits, and nutrient availability can therefore alter AMF-associated microbial assemblages in ways that differ from patterns observed for free-living soil microorganisms.",B,yes,no,plant soil variation host identity functional traits,REF019; REF020,"(Byers et al., 2023) (Yacine et al., 2024)",supported
Introduction,INT_013,"Experimental studies have shown that AM fungi can recruit distinct bacterial, fungal, and protistan communities and modify network structure within the hyphosphere.",B,yes,no,bacterial fungal experimental studies have shown fungi recruit,REF021; REF022,"(Rezaei et al., 2024) (Chen et al., 2024)",supported
Introduction,INT_014,These observations suggest that AMF-linked microbial relationships may be particularly sensitive to plant-community context.,B,yes,no,observations suggest amf-linked microbial relationships particularly sensitive plant-community,REF023; REF024,"(Wani et al., 2025) (Kumar et al., 2023)",supported
Introduction,INT_015,"Although individual microbial groups have been extensively studied, comparatively few investigations have integrated bacteria, fungi, microbial eukaryotes, and AMF within a common analytical framework.",B,yes,no,although individual microbial groups have been extensively studied,REF001; REF025,"(Kiprotich et al., 2025) (Venkatesagowda et al., 2021)",supported
Introduction,INT_016,"Most studies focus on a single domain or a limited set of pairwise interactions, making it difficult to evaluate whether environmental filtering and plant-community context influence different microbial domains in similar or contrasting ways.",B,yes,no,environmental filtering most studies focus single domain limited,REF026; REF027,"(Hoffbeck et al., 2023) (Veres et al., 2023)",supported
Introduction,INT_017,"A broader cross-domain perspective is needed to determine whether observed coupling reflects shared environmental organization, plant-mediated effects, or combinations of both processes.",B,yes,no,coupling environmental broader cross-domain perspective needed determine whether,REF028; REF026,"(Schrader et al., 2019) (Hoffbeck et al., 2023)",supported
Introduction,INT_018,Environmental filtering is likely to explain an important proportion of cross-domain concordance.,B,yes,no,environmental filtering likely explain important proportion,REF026; REF029,"(Hoffbeck et al., 2023) (Roper-Edwards et al., 2024)",supported
Introduction,INT_019,"Among soil variables, pH is consistently identified as one of the strongest predictors of bacterial community composition and can influence the balance between deterministic and stochastic assembly processes.",B,yes,no,soil bacterial deterministic stochastic assembly variables consistently,REF003; REF030,"(Riddley et al., 2025) (Huang et al., 2025)",supported
